"","nwsID","wrccID","nessID","siteName","longitude","latitude","timezone","elevation","countryCode","stateCode","agency"
"58","500426",NA,NA,"FT YUKON",-145.2541667,66.57583333,"America/Anchorage",465,"US","AK",NA
"59","020102",NA,NA,"FORT YUMA",-114.6344444,32.65333333,"America/Phoenix",185,"US","AZ",NA
"60","500748",NA,NA,"GEORGE CREEK RAWS",-144.3555556,63.84694444,"America/Anchorage",1525,"US","AK",NA
"61","020601",NA,NA,"GLOBE",-110.7813889,33.32694444,"America/Phoenix",4137,"US","AZ",NA
"62","020507",NA,NA,"GOODWIN",-113.3,34.75,"America/Phoenix",4200,"US","AZ",NA
"63","500743",NA,NA,"GOODPASTER",-145.27,64.24,"America/Anchorage",1520,"US","AK",NA
"64","500416",NA,NA,"GRAPHITE LAKE",-143.2880556,67.03388889,"America/Anchorage",850,"US","AK",NA
"65","020284",NA,NA,"GREENBASE",-112.0597222,35.27416667,"America/Phoenix",6923,"US","AZ",NA
"66","020404",NA,NA,"GREER",-109.45,34.06,"America/Phoenix",8200,"US","AZ",NA
"67","500964",NA,NA,"GRANITE",-149.3,60.725,"America/Anchorage",400,"US","AK",NA
"68","500968",NA,NA,"GREZELKA",-149.6844444,61.22444444,"America/Anchorage",323,"US","AK",NA
"69","021104",NA,NA,"GUTHRIE",-109.3091667,32.89861111,"America/Phoenix",6340,"US","AZ",NA
"70","033202",NA,NA,"GUY",-92.27611111,35.32638889,"America/Chicago",772,"US","AR",NA
"71","501044",NA,NA,"HAIDA",-132.6983333,55.35027778,"America/Sitka",1637,"US","AK",NA
"72","020118",NA,NA,"HAVASU",-114.5347222,34.8075,"America/Phoenix",475,"US","AZ",NA
"73","500214",NA,NA,"HAYCOCK",-161.15,65.2,"America/Anchorage",177,"US","AK",NA
"74","020301",NA,NA,"HEBER",-110.5644444,34.39777778,"America/Phoenix",6635,"US","AZ",NA
"75","500731",NA,NA,"HELMUT MT",-144.1183333,67.74527778,"America/Anchorage",2800,"US","AK",NA
"76","020609",NA,NA,"HILLTOP",-110.4144444,33.61111111,"America/Phoenix",5632,"US","AZ",NA
"77","020291",NA,NA,"HAPPY JACK",-111.4013889,34.57916667,"America/Phoenix",7000,"US","AZ",NA
"78","501042",NA,NA,"SHELTER COVE",-131.3661111,55.52972222,"America/Sitka",492,"US","AK",NA
"79","500417",NA,NA,"HODZANA",-148.6777778,66.7425,"America/Anchorage",1075,"US","AK",NA
"80","500309",NA,NA,"HOGATZA RIVER",-155.68,66.22,"America/Anchorage",685,"US","AK",NA
"81","500965",NA,NA,"HOMER EAST END",-151.2,59.75,"America/Anchorage",715,"US","AK",NA
"82","501013",NA,NA,"HOONAH",-135.0986111,57.80666667,"America/Juneau",650,"US","AK",NA
"83","500730",NA,NA,"HOODOO HILL",-163.4113889,65.595,"America/Nome",1495,"US","AK",NA
"84","020903",NA,NA,"HORSE CMP",-110.4933333,32.93638889,"America/Phoenix",4040,"US","AZ",NA
"85","020225",NA,NA,"HOUSEROCK",-111.9825,36.56277778,"America/Phoenix",5400,"US","AZ",NA
"86","020312",NA,NA,"HOPI",-110.615,35.8625,"America/Phoenix",5584,"US","AZ",NA
"87","021302",NA,NA,"HOPKINS",-110.88,31.67527778,"America/Phoenix",7120,"US","AZ",NA
"88","020508",NA,NA,"HUMBUG",-112.5,34.13333333,"America/Phoenix",5300,"US","AZ",NA
"89","020117",NA,NA,"HURRICANE",-113.2072222,36.69916667,"America/Phoenix",5445,"US","AZ",NA
